Город,Регион,Федеральный округ,lat,lng
Агрыз,Татарстан,Приволжский,"56,526318","52,995266"
Адыгейск,Адыгея,Южный,"44,884856","39,190567"
Алатырь,Чувашия,Приволжский,"54,839816","46,572195"
Анадырь,Чукотский АО,Дальневосточный,"64,733115","177,508924"
Апатиты,Мурманская область,Северо-Западный,"67,568041","33,407115"
Бавлы,Татарстан,Приволжский,"54,406333","53,245896"
Барыш,Ульяновская область,Приволжский,"53,653468","47,118029"
Белый,Тверская область,Центральный,"55,83385","32,938805"
Благодарный,Ставропольский край,Северо-Кавказский,"45,095649","43,440021"
Бронницы,Московская область,Центральный,"55,425471","38,264108"
ВерхняяПышма,Свердловская область,Уральский,"53,876143","59,216953"
Вуктыл,Коми,Северо-Западный,"63,844407","57,29984"
Выборг,Ленинградская область,Северо-Западный,"60,710232","28,749404"
Выкса,Нижегородская область,Приволжский,"55,320683","42,167961"
Высоковск,Московская область,Центральный,"56,320243","36,551236"
Высоцк,Ленинградская область,Северо-Западный,"60,625264","28,568016"
Вытегра,Вологодская область,Северо-Западный,"61,006355","36,449511"
ВышнийВолочёк,Тверская область,Центральный,"61,006355","36,449511"
ВятскиеПоляны,Кировская область,Приволжский,"55,205944","34,298037"
Голицыно,Московская область,Центральный,"55,615944","36,987117"
Грозный,Чечня,Северо-Кавказский,"43,317776","45,694909"
Гусь-Хрустальный,Владимирская область,Центральный,"55,619818","40,657902"
Долгопрудный,Московская область,Центральный,"55,933564","37,514104"
Заозёрный,Красноярский край,Сибирский,"55,961818","94,709228"
Заполярный,Мурманская область,Северо-Западный,"69,426103","30,820739"
Заречный,Пензенская область,Приволжский,"53,19611","45,169071"
Заречный,Свердловская область,Уральский,"53,19611","45,169071"
Злынка,Брянская область,Центральный,"52,427384","31,737075"
Изобильный,Ставропольский край,Северо-Кавказский,"45,368536","41,708644"
Камызяк,Астраханская область,Южный,"46,110571","48,073235"
Камышин,Волгоградская область,Южный,"50,083698","45,407367"
Камышлов,Свердловская область,Уральский,"56,846578","62,712288"
Карталы,Челябинская область,Уральский,"53,053681","60,647753"
Кедровый,Томская область,Сибирский,"57,560963","79,566965"
Кимры,Тверская область,Центральный,"56,873338","37,355678"
Клинцы,Брянская область,Центральный,"52,753143","32,233852"
Ковылкино,Мордовия,Приволжский,"54,039201","43,919056"
Когалым,Ханты-Мансийский АО — Югра,Уральский,"62,264069","74,482761"
КрасныйКут,Саратовская область,Приволжский,"56,010563","92,852572"
КрасныйСулин,Ростовская область,Южный,"56,010563","92,852572"
КрасныйХолм,Тверская область,Центральный,"56,010563","92,852572"
Крымск,Краснодарский край,Южный,"44,934986","37,986196"
Кувандык,Оренбургская область,Приволжский,"51,478483","57,361168"
Кудымкар,Пермский край,Приволжский,"59,014548","54,664183"
Куйбышев,Новосибирская область,Сибирский,"53,195538","50,101783"
Куртамыш,Курганская область,Уральский,"54,912459","64,433505"
Кызыл,Тыва,Сибирский,"51,719086","94,437757"
Кыштым,Челябинская область,Уральский,"55,707877","60,538949"
Лабытнанги,Ямало-Ненецкий АО,Уральский,"66,660595","66,383963"
Ливны,Орловская область,Центральный,"52,426549","37,608041"
Луховицы,Московская область,Центральный,"54,965217","39,025394"
Лысково,Нижегородская область,Приволжский,"56,021357","45,040962"
Лысьва,Пермский край,Приволжский,"58,100413","57,811655"
Лыткарино,Московская область,Центральный,"55,579297","37,908986"
Люберцы,Московская область,Центральный,"55,676494","37,898116"
Малмыж,Кировская область,Приволжский,"56,524461","50,678232"
Мамадыш,Татарстан,Приволжский,"55,717771","51,410224"
Медынь,Калужская область,Центральный,"54,968784","35,857701"
МинеральныеВоды,Ставропольский край,Северо-Кавказский,"48,92173","40,394849"
Мирный,Якутия,Дальневосточный,"62,541028","113,978692"
Мирный,Архангельская область,Северо-Западный,"62,541028","113,978692"
Мыски,Кемеровская область,Сибирский,"53,712509","87,805747"
Мытищи,Московская область,Центральный,"55,910483","37,736402"
Мышкин,Ярославская область,Центральный,"57,787134","38,455332"
НабережныеЧелны,Татарстан,Приволжский,"57,787134","38,455332"
Надым,Ямало-Ненецкий АО,Уральский,"65,535924","72,531341"
