Город,Регион,Федеральный округ,lat,lng
Белогорск,Амурская область,Дальневосточный,"50,921287","128,473917"
Благовещенск,Амурская область,Дальневосточный,"50,28702","127,541025"
Завитинск,Амурская область,Дальневосточный,"50,106518","129,439309"
Зея,Амурская область,Дальневосточный,"53,734033","127,265889"
Райчихинск,Амурская область,Дальневосточный,"49,794114","129,411255"
Свободный,Амурская область,Дальневосточный,"51,375889","128,134147"
Сковородино,Амурская область,Дальневосточный,"53,987177","123,943632"
Тында,Амурская область,Дальневосточный,"55,154656","124,729236"
Шимановск,Амурская область,Дальневосточный,"51,85262","116,032735"
Биробиджан,Еврейская АО,Дальневосточный,"48,794668","132,921754"
Облучье,Еврейская АО,Дальневосточный,"49,018898","131,053914"
Вилючинск,Камчатский край,Дальневосточный,"52,906857","158,418296"
Елизово,Камчатский край,Дальневосточный,"53,183053","158,388355"
Петропавловск-Камчатский,Камчатский край,Дальневосточный,"53,024075","158,643566"
Магадан,Магаданская область,Дальневосточный,"59,568164","150,808541"
Сусуман,Магаданская область,Дальневосточный,"62,780464","148,153687"
Арсеньев,Приморский край,Дальневосточный,"44,162084","133,269726"
Артём,Приморский край,Дальневосточный,"43,354804","132,18563"
БольшойКамень,Приморский край,Дальневосточный,"53,443097","36,005087"
Владивосток,Приморский край,Дальневосточный,"43,115536","131,885485"
Дальнегорск,Приморский край,Дальневосточный,"44,554018","135,566179"
Дальнереченск,Приморский край,Дальневосточный,"45,93085","133,731738"
Лесозаводск,Приморский край,Дальневосточный,"45,477955","133,418594"
Находка,Приморский край,Дальневосточный,"42,824037","132,892811"
Партизанск,Приморский край,Дальневосточный,"43,119813","133,123246"
Спасск-Дальний,Приморский край,Дальневосточный,"44,597641","132,817559"
Уссурийск,Приморский край,Дальневосточный,"43,797273","131,95178"
Фокино,Приморский край,Дальневосточный,"53,455436","34,415923"
Александровск-Сахалинский,Сахалинская область,Дальневосточный,"50,894564","142,1594"
Анива,Сахалинская область,Дальневосточный,"46,713168","142,526595"
Долинск,Сахалинская область,Дальневосточный,"47,32624","142,79344"
Корсаков,Сахалинская область,Дальневосточный,"46,63498","142,78257"
Курильск,Сахалинская область,Дальневосточный,"45,225174","147,883761"
Макаров,Сахалинская область,Дальневосточный,"48,625101","142,778851"
Невельск,Сахалинская область,Дальневосточный,"46,652828","141,863126"
Оха,Сахалинская область,Дальневосточный,"53,584521","142,947186"
Поронайск,Сахалинская область,Дальневосточный,"49,22038","143,08956"
Северо-Курильск,Сахалинская область,Дальневосточный,"50,676327","156,124106"
Томари,Сахалинская область,Дальневосточный,"47,762214","142,061627"
Углегорск,Сахалинская область,Дальневосточный,"49,081575","142,069281"
Холмск,Сахалинская область,Дальневосточный,"47,040905","142,041622"
Южно-Сахалинск,Сахалинская область,Дальневосточный,"46,959155","142,738023"
Амурск,Хабаровский край,Дальневосточный,"50,226797","136,910607"
Бикин,Хабаровский край,Дальневосточный,"46,818592","134,255034"
Вяземский,Хабаровский край,Дальневосточный,"47,535352","134,755297"
Комсомольск-на-Амуре,Хабаровский край,Дальневосточный,"50,549923","137,007948"
Николаевск-на-Амуре,Хабаровский край,Дальневосточный,"53,146143","140,711046"
СоветскаяГавань,Хабаровский край,Дальневосточный,"57,587599","48,959521"
Хабаровск,Хабаровский край,Дальневосточный,"48,480223","135,071917"
Анадырь,Чукотский АО,Дальневосточный,"64,733115","177,508924"
Билибино,Чукотский АО,Дальневосточный,"68,057129","166,451139"
Певек,Чукотский АО,Дальневосточный,"69,701761","170,299935"
Алдан,Якутия,Дальневосточный,"58,609451","125,381673"
Верхоянск,Якутия,Дальневосточный,"67,550161","133,390702"
Вилюйск,Якутия,Дальневосточный,"63,751722","121,627326"
Ленск,Якутия,Дальневосточный,"60,713731","114,911844"
Мирный,Якутия,Дальневосточный,"62,541028","113,978692"
Нерюнгри,Якутия,Дальневосточный,"56,659948","124,720315"
Нюрба,Якутия,Дальневосточный,"63,278463","118,336617"
Олёкминск,Якутия,Дальневосточный,"60,375796","120,406013"
Покровск,Якутия,Дальневосточный,"61,48424","129,148219"
Среднеколымск,Якутия,Дальневосточный,"67,458183","153,707009"
