Город,Федеральный округ,lat,lng
Алейск,Сибирский,"52,492167","82,779448"
Барнаул,Сибирский,"53,346785","83,776856"
Белокуриха,Сибирский,"51,99606","84,984004"
Бийск,Сибирский,"52,539297","85,21382"
Горняк,Сибирский,"50,997775","81,464198"
Заринск,Сибирский,"53,706332","84,931488"
Змеиногорск,Сибирский,"51,158015","82,18727"
Камень-на-Оби,Сибирский,"53,791486","81,354558"
Новоалтайск,Сибирский,"53,412021","83,93107"
Рубцовск,Сибирский,"51,501207","81,2078"
Славгород,Сибирский,"52,999375","78,64594"
Яровое,Сибирский,"52,923446","78,569601"
