Город,Федеральный округ,lat,lng
Агидель,Приволжский,"55,899835","53,92204"
Баймак,Приволжский,"52,591257","58,311199"
Белебей,Приволжский,"54,103441","54,111279"
Белорецк,Приволжский,"53,967621","58,410023"
Бирск,Приволжский,"55,417531","55,530707"
Благовещенск,Приволжский,"50,28702","127,541025"
Давлеканово,Приволжский,"54,222727","55,03127"
Дюртюли,Приволжский,"55,48529","54,873463"
Ишимбай,Приволжский,"53,454621","56,04395"
Кумертау,Приволжский,"52,756523","55,796976"
Межгорье,Приволжский,"54,239989","57,961225"
Мелеуз,Приволжский,"52,958964","55,92831"
Нефтекамск,Приволжский,"56,088408","54,248236"
Октябрьский,Приволжский,"54,481448","53,46557"
Салават,Приволжский,"53,361651","55,924672"
Сибай,Приволжский,"52,72051","58,666429"
Стерлитамак,Приволжский,"53,630403","55,930825"
Туймазы,Приволжский,"54,599988","53,695008"
Уфа,Приволжский,"54,735147","55,958727"
Учалы,Приволжский,"54,319176","59,378631"
Янаул,Приволжский,"56,264957","54,929824"
