Город,Федеральный округ,lat,lng
Волгоград,Южный,"48,707073","44,51693"
Волжский,Южный,"56,053804","48,555271"
Дубовка,Южный,"49,055369","44,826957"
Жирновск,Южный,"50,978713","44,778834"
Калач-на-Дону,Южный,"48,681995","43,538234"
Камышин,Южный,"50,083698","45,407367"
Котельниково,Южный,"47,631528","43,142625"
Котово,Южный,"50,322058","44,801319"
Краснослободск,Южный,"54,424901","43,784435"
Ленинск,Южный,"48,693682","45,199228"
Михайловка,Южный,"50,070847","43,239723"
Николаевск,Южный,"50,025878","45,45911"
Новоаннинский,Южный,"50,529658","42,66667"
Палласовка,Южный,"50,050167","46,880398"
ПетровВал,Южный,"58,599071","35,798098"
Серафимович,Южный,"49,584135","42,734008"
Суровикино,Южный,"48,605493","42,844195"
Урюпинск,Южный,"50,794522","41,995844"
Фролово,Южный,"49,765861","43,649292"
