Город,Федеральный округ,lat,lng
Бабаево,Северо-Западный,"59,389227","35,937759"
Белозерск,Северо-Западный,"60,030843","37,789016"
ВеликийУстюг,Северо-Западный,"55,603969","31,197214"
Вологда,Северо-Западный,"59,220496","39,891523"
Вытегра,Северо-Западный,"61,006355","36,449511"
Грязовец,Северо-Западный,"58,875793","40,248423"
Кадников,Северо-Западный,"59,503767","40,34404"
Кириллов,Северо-Западный,"59,859059","38,374933"
Красавино,Северо-Западный,"60,961377","46,481474"
Никольск,Северо-Западный,"53,71447","46,084356"
Сокол,Северо-Западный,"59,460968","40,099977"
Тотьма,Северо-Западный,"59,973487","42,758873"
Устюжна,Северо-Западный,"58,838391","36,442414"
Харовск,Северо-Западный,"59,95074","40,20631"
Череповец,Северо-Западный,"59,122612","37,903461"
