Город,Федеральный округ,lat,lng
Бобров,Центральный,"51,097718","40,035604"
Богучар,Центральный,"49,935512","40,559079"
Борисоглебск,Центральный,"51,367725","42,074977"
Бутурлиновка,Центральный,"50,835367","40,584825"
Воронеж,Центральный,"51,660781","39,200269"
Калач,Центральный,"50,424119","41,01624"
Лиски,Центральный,"50,987298","39,497099"
Нововоронеж,Центральный,"51,309213","39,216277"
Новохопёрск,Центральный,"51,100286","41,631452"
Острогожск,Центральный,"50,860139","39,082365"
Павловск,Центральный,"59,686411","30,431598"
Поворино,Центральный,"51,190773","42,245576"
Россошь,Центральный,"50,192899","39,57652"
Семилуки,Центральный,"51,695255","39,018953"
Эртиль,Центральный,"51,835727","40,799243"
