Город,Федеральный округ,lat,lng
Буйнакск,Северо-Кавказский,"42,821749","47,115927"
ДагестанскиеОгни,Северо-Кавказский,"54,222727","55,03127"
Дербент,Северо-Кавказский,"42,057669","48,288776"
Избербаш,Северо-Кавказский,"42,565141","47,871078"
Каспийск,Северо-Кавказский,"42,890833","47,635674"
Кизилюрт,Северо-Кавказский,"43,204637","46,866878"
Кизляр,Северо-Кавказский,"43,84738","46,711685"
Махачкала,Северо-Кавказский,"42,98306","47,504682"
Хасавюрт,Северо-Кавказский,"43,246265","46,590044"
Южно-Сухокумск,Северо-Кавказский,"44,660166","45,649966"
