Город,Федеральный округ,lat,lng
Вичуга,Центральный,"57,217138","41,918149"
ГавриловПосад,Центральный,"55,205944","34,298037"
Заволжск,Центральный,"57,491737","42,137491"
Иваново,Центральный,"57,000348","40,973921"
Кинешма,Центральный,"57,442544","42,168923"
Комсомольск,Центральный,"57,027394","40,37761"
Кохма,Центральный,"56,932531","41,093208"
Наволоки,Центральный,"57,470588","41,957765"
Плёс,Центральный,"57,460578","41,512254"
Приволжск,Центральный,"57,380662","41,28083"
Пучеж,Центральный,"56,982087","43,168406"
Родники,Центральный,"57,107152","41,733366"
Тейково,Центральный,"56,85436","40,535471"
Фурманов,Центральный,"57,252601","41,106189"
Шуя,Центральный,"56,852037","41,385556"
Южа,Центральный,"56,583698","42,011843"
Юрьевец,Центральный,"57,317815","43,110995"
