Город,Федеральный округ,lat,lng
Алзамай,Сибирский,"55,555072","98,664357"
Ангарск,Сибирский,"52,544358","103,88824"
Байкальск,Сибирский,"51,522821","104,149928"
Бирюсинск,Сибирский,"55,960876","97,820453"
Братск,Сибирский,"56,151362","101,63408"
Вихоревка,Сибирский,"56,120718","101,170396"
Железногорск-Илимский,Сибирский,"56,584843","104,114283"
Зима,Сибирский,"53,92072","102,049065"
Иркутск,Сибирский,"52,287054","104,281047"
Киренск,Сибирский,"57,775723","108,110816"
Нижнеудинск,Сибирский,"54,901233","99,026387"
Саянск,Сибирский,"53,139472","91,4792"
Свирск,Сибирский,"53,066567","103,342244"
Слюдянка,Сибирский,"51,656501","103,718845"
Тайшет,Сибирский,"55,940502","98,002982"
Усолье-Сибирское,Сибирский,"52,756648","103,638769"
Усть-Илимск,Сибирский,"54,55712","100,578038"
Усть-Кут,Сибирский,"56,792838","105,775699"
Черемхово,Сибирский,"53,136911","103,090096"
Шелехов,Сибирский,"52,210209","104,097395"
