Город,Федеральный округ,lat,lng
Багратионовск,Северо-Западный,"54,386509","20,639638"
Балтийск,Северо-Западный,"54,644072","19,892177"
Гвардейск,Северо-Западный,"54,647708","21,071341"
Гурьевск,Северо-Западный,"54,285935","85,947635"
Гусев,Северо-Западный,"54,591841","22,201117"
Зеленоградск,Северо-Западный,"54,95993","20,475354"
Калининград,Северо-Западный,"54,70739","20,507307"
Краснознаменск,Северо-Западный,"55,600506","37,042489"
Ладушкин,Северо-Западный,"54,569116","20,172954"
Мамоново,Северо-Западный,"54,463785","19,942267"
Неман,Северо-Западный,"55,038836","22,028146"
Нестеров,Северо-Западный,"54,631368","22,571357"
Озёрск,Северо-Западный,"55,763184","60,707599"
Пионерский,Северо-Западный,"54,949482","20,224841"
Полесск,Северо-Западный,"54,862777","21,109879"
Правдинск,Северо-Западный,"54,44634","21,018817"
Приморск,Северо-Западный,"60,366014","28,613552"
Светлогорск,Северо-Западный,"54,944006","20,151512"
Светлый,Северо-Западный,"54,67737","20,135719"
Славск,Северо-Западный,"55,043819","21,680067"
Советск,Северо-Западный,"57,587599","48,959521"
Черняховск,Северо-Западный,"54,630706","21,819503"
