Город,Федеральный округ,lat,lng
Балабаново,Центральный,"55,177396","36,65677"
Белоусово,Центральный,"55,089516","36,657812"
Боровск,Центральный,"55,207634","36,483584"
Ермолино,Центральный,"55,197204","36,5952"
Жиздра,Центральный,"53,749114","34,734447"
Жуков,Центральный,"55,03167","36,746503"
Калуга,Центральный,"54,513845","36,261215"
Киров,Центральный,"58,603581","49,667978"
Козельск,Центральный,"54,034823","35,78226"
Кондрово,Центральный,"54,80743","35,926647"
Кремёнки,Центральный,"54,887036","37,116232"
Людиново,Центральный,"53,864607","34,447678"
Малоярославец,Центральный,"55,011897","36,462555"
Медынь,Центральный,"54,968784","35,857701"
Мещовск,Центральный,"54,321476","35,278081"
Мосальск,Центральный,"54,491307","34,984197"
Обнинск,Центральный,"55,11201","36,586531"
Сосенский,Центральный,"54,059489","35,966038"
Спас-Деменск,Центральный,"54,409834","34,018948"
Сухиничи,Центральный,"54,101752","35,339319"
Таруса,Центральный,"54,729122","37,17959"
Юхнов,Центральный,"54,744201","35,238878"
