Город,Федеральный округ,lat,lng
Беломорск,Северо-Западный,"64,53032","34,763328"
Кемь,Северо-Западный,"64,955532","34,598371"
Кондопога,Северо-Западный,"62,20475","34,272758"
Костомукша,Северо-Западный,"64,588014","30,598361"
Лахденпохья,Северо-Западный,"61,518857","30,199491"
Медвежьегорск,Северо-Западный,"62,914998","34,473101"
Олонец,Северо-Западный,"60,979719","32,972034"
Петрозаводск,Северо-Западный,"61,785017","34,346878"
Питкяранта,Северо-Западный,"61,573083","31,471254"
Пудож,Северо-Западный,"61,80589","36,533"
Сегежа,Северо-Западный,"63,743701","34,312617"
Сортавала,Северо-Западный,"61,703306","30,691723"
Суоярви,Северо-Западный,"62,087896","32,373738"
