Город,Федеральный округ,lat,lng
Анжеро-Судженск,Сибирский,"56,083175","86,018216"
Белово,Сибирский,"54,422114","86,303692"
Берёзовский,Сибирский,"56,910173","60,798203"
Гурьевск,Сибирский,"54,285935","85,947635"
Калтан,Сибирский,"53,521083","87,27716"
Кемерово,Сибирский,"55,354727","86,088374"
Киселёвск,Сибирский,"54,006025","86,636679"
Ленинск-Кузнецкий,Сибирский,"54,663609","86,162243"
Мариинск,Сибирский,"56,206952","87,742263"
Междуреченск,Сибирский,"53,686596","88,070372"
Мыски,Сибирский,"53,712509","87,805747"
Новокузнецк,Сибирский,"53,757547","87,136044"
Осинники,Сибирский,"53,598748","87,337069"
Полысаево,Сибирский,"54,605443","86,280901"
Прокопьевск,Сибирский,"53,884487","86,750055"
Салаир,Сибирский,"54,235127","85,803007"
Тайга,Сибирский,"56,065138","85,631024"
Таштагол,Сибирский,"52,763912","87,848309"
Топки,Сибирский,"55,276508","85,615223"
Юрга,Сибирский,"55,713557","84,933869"
