Город,Федеральный округ,lat,lng
БелаяХолуница,Приволжский,"57,78567","36,693871"
ВятскиеПоляны,Приволжский,"55,205944","34,298037"
Зуевка,Приволжский,"58,403217","51,133426"
Киров,Приволжский,"58,603581","49,667978"
Кирово-Чепецк,Приволжский,"58,556581","50,043932"
Кирс,Приволжский,"59,339987","52,241516"
Котельнич,Приволжский,"58,303426","48,347508"
Луза,Приволжский,"60,629099","47,261229"
Малмыж,Приволжский,"56,524461","50,678232"
Мураши,Приволжский,"59,3956","48,963851"
Нолинск,Приволжский,"57,559708","49,935712"
Омутнинск,Приволжский,"58,66406","52,177152"
Слободской,Приволжский,"58,731886","50,183674"
Советск,Приволжский,"57,587599","48,959521"
Сосновка,Приволжский,"56,253352","51,283364"
Уржум,Приволжский,"57,109738","50,005717"
Яранск,Приволжский,"57,304228","47,885855"
