Город,Федеральный округ,lat,lng
Буй,Центральный,"58,481719","41,533113"
Волгореченск,Центральный,"57,439464","41,157456"
Галич,Центральный,"58,381199","42,34749"
Кологрив,Центральный,"58,826929","44,318762"
Кострома,Центральный,"57,767961","40,926858"
Макарьев,Центральный,"57,880009","43,807836"
Мантурово,Центральный,"58,328617","44,757292"
Нерехта,Центральный,"57,454414","40,572446"
Нея,Центральный,"58,294389","43,878192"
Солигалич,Центральный,"59,07858","42,287815"
Чухлома,Центральный,"58,753399","42,688526"
Шарья,Центральный,"58,369849","45,518264"
