Город,Федеральный округ,lat,lng
Бокситогорск,Северо-Западный,"59,473572","33,847675"
Волосово,Северо-Западный,"59,447275","29,48481"
Волхов,Северо-Западный,"59,916744","32,331544"
Всеволожск,Северо-Западный,"60,021317","30,654084"
Выборг,Северо-Западный,"60,710232","28,749404"
Высоцк,Северо-Западный,"60,625264","28,568016"
Гатчина,Северо-Западный,"59,568456","30,124473"
Ивангород,Северо-Западный,"59,376655","28,223117"
Каменногорск,Северо-Западный,"60,95081","29,130882"
Кингисепп,Северо-Западный,"59,374028","28,611297"
Кириши,Северо-Западный,"59,449695","32,008707"
Кировск,Северо-Западный,"67,612101","33,668165"
Коммунар,Северо-Западный,"59,621609","30,393483"
Кудрово,Северо-Западный,"59,908489","30,513569"
ЛодейноеПоле,Северо-Западный,"56,012269","37,474821"
Луга,Северо-Западный,"58,735221","29,847999"
Любань,Северо-Западный,"52,798914","27,993481"
Никольское,Северо-Западный,"59,704642","30,788966"
НоваяЛадога,Северо-Западный,"59,704642","30,788966"
Отрадное,Северо-Западный,"51,666104","39,33658"
Пикалёво,Северо-Западный,"59,513113","34,177303"
Подпорожье,Северо-Западный,"60,912784","34,156813"
Приморск,Северо-Западный,"60,366014","28,613552"
Приозерск,Северо-Западный,"61,036554","30,119838"
Светогорск,Северо-Западный,"61,111193","28,87268"
Сертолово,Северо-Западный,"60,141613","30,211879"
Сланцы,Северо-Западный,"59,11779","28,088136"
СосновыйБор,Северо-Западный,"56,120211","93,335434"
Сясьстрой,Северо-Западный,"60,141954","32,556743"
Тихвин,Северо-Западный,"59,644209","33,542096"
Тосно,Северо-Западный,"59,540664","30,877719"
Шлиссельбург,Северо-Западный,"59,934943","31,026597"
