Город,Федеральный округ,lat,lng
Апрелевка,Центральный,"55,545166","37,07322"
Балашиха,Центральный,"55,796339","37,938199"
Бронницы,Центральный,"55,425471","38,264108"
Верея,Центральный,"55,343369","36,185694"
Видное,Центральный,"55,557174","37,708644"
Волоколамск,Центральный,"56,035728","35,958537"
Воскресенск,Центральный,"55,322978","38,673353"
Высоковск,Центральный,"56,320243","36,551236"
Голицыно,Центральный,"55,615944","36,987117"
Дедовск,Центральный,"55,859984","37,120669"
Дзержинский,Центральный,"55,630939","37,849616"
Дмитров,Центральный,"56,343942","37,520348"
Долгопрудный,Центральный,"55,933564","37,514104"
Дрезна,Центральный,"55,741404","38,842371"
Дубна,Центральный,"56,744002","37,173176"
Егорьевск,Центральный,"55,38305","39,035833"
Жуковский,Центральный,"53,498298","33,774598"
Зарайск,Центральный,"54,756973","38,874845"
Звенигород,Центральный,"55,729686","36,855325"
Ивантеевка,Центральный,"55,971718","37,924338"
Истра,Центральный,"55,914287","36,860284"
Кашира,Центральный,"54,834589","38,15154"
Клин,Центральный,"56,331693","36,728716"
Коломна,Центральный,"55,103152","38,752917"
Королёв,Центральный,"55,922212","37,854629"
Котельники,Центральный,"55,65984","37,863199"
Красноармейск,Центральный,"56,120959","38,14094"
Красногорск,Центральный,"55,831099","37,330192"
Краснозаводск,Центральный,"56,439338","38,245261"
Краснознаменск,Центральный,"55,600506","37,042489"
Кубинка,Центральный,"55,575556","36,695209"
Куровское,Центральный,"55,579144","38,920866"
Ликино-Дулёво,Центральный,"55,707786","38,957742"
Лобня,Центральный,"56,012269","37,474821"
Лосино-Петровский,Центральный,"55,87137","38,200606"
Луховицы,Центральный,"54,965217","39,025394"
Лыткарино,Центральный,"55,579297","37,908986"
Люберцы,Центральный,"55,676494","37,898116"
Можайск,Центральный,"55,506714","36,017358"
Мытищи,Центральный,"55,910483","37,736402"
Наро-Фоминск,Центральный,"55,38616","36,734493"
Ногинск,Центральный,"55,854522","38,441831"
Одинцово,Центральный,"55,678859","37,263986"
Озёры,Центральный,"54,854087","38,559824"
Орехово-Зуево,Центральный,"55,805837","38,981592"
ПавловскийПосад,Центральный,"59,686411","30,431598"
Подольск,Центральный,"55,431177","37,544737"
Протвино,Центральный,"54,870621","37,218316"
Пушкино,Центральный,"56,010428","37,847155"
Пущино,Центральный,"54,832479","37,620977"
Раменское,Центральный,"55,567326","38,22584"
Реутов,Центральный,"55,760515","37,855141"
Рошаль,Центральный,"55,663283","39,862759"
Руза,Центральный,"55,701516","36,195997"
СергиевПосад,Центральный,"55,520105","45,481361"
Серпухов,Центральный,"54,913536","37,416763"
Солнечногорск,Центральный,"56,185102","36,977631"
СтараяКупавна,Центральный,"45,044521","41,969083"
Ступино,Центральный,"54,88688","38,07839"
Талдом,Центральный,"56,73084","37,527633"
Фрязино,Центральный,"55,957938","38,052339"
Химки,Центральный,"55,88874","37,43039"
Хотьково,Центральный,"56,252182","37,978677"
Черноголовка,Центральный,"56,010005","38,379245"
Чехов,Центральный,"55,149851","37,466997"
Щёлково,Центральный,"55,920209","37,991478"
Электрогорск,Центральный,"55,883161","38,786209"
Электросталь,Центральный,"55,784445","38,444849"
Электроугли,Центральный,"55,716859","38,219659"
Яхрома,,"56,28989","37,483858"
