Город,Федеральный округ,lat,lng
Апатиты,Северо-Западный,"67,568041","33,407115"
Гаджиево,Северо-Западный,"69,249049","33,315262"
Заозёрск,Северо-Западный,"69,400373","32,450139"
Заполярный,Северо-Западный,"69,426103","30,820739"
Кандалакша,Северо-Западный,"67,151252","32,412823"
Кировск,Северо-Западный,"67,612101","33,668165"
Ковдор,Северо-Западный,"67,562914","30,474025"
Кола,Северо-Западный,"68,878636","33,026247"
Мончегорск,Северо-Западный,"67,938931","32,937116"
Мурманск,Северо-Западный,"68,970682","33,074981"
Оленегорск,Северо-Западный,"68,142161","33,26696"
Островной,Северо-Западный,"68,05439","39,514105"
ПолярныеЗори,Северо-Западный,"54,605443","86,280901"
Полярный,Северо-Западный,"69,198909","33,451033"
Североморск,Северо-Западный,"69,076153","33,416215"
Снежногорск,Северо-Западный,"69,192168","33,238303"
