Город,Федеральный округ,lat,lng
Арзамас,Приволжский,"55,386666","43,815687"
Балахна,Приволжский,"56,504556","43,602005"
Богородск,Приволжский,"56,103362","43,516755"
Бор,Приволжский,"56,356517","44,064575"
Ветлуга,Приволжский,"57,852885","45,776099"
Володарск,Приволжский,"56,21695","43,159729"
Ворсма,Приволжский,"55,98999","43,271955"
Выкса,Приволжский,"55,320683","42,167961"
Горбатов,Приволжский,"56,130869","43,062701"
Городец,Приволжский,"56,644822","43,472351"
Дзержинск,Приволжский,"56,238377","43,461625"
Заволжье,Приволжский,"56,640441","43,387164"
Княгинино,Приволжский,"55,820566","45,032249"
Кстово,Приволжский,"56,15067","44,206751"
Кулебаки,Приволжский,"55,429716","42,512483"
Лукоянов,Приволжский,"55,032697","44,493349"
Лысково,Приволжский,"56,021357","45,040962"
Навашино,Приволжский,"55,543888","42,18874"
НижнийНовгород,Приволжский,"54,901233","99,026387"
Павлово,Приволжский,"55,964629","43,06457"
Первомайск,Приволжский,"54,867632","43,801377"
Перевоз,Приволжский,"55,596849","44,544931"
Саров,Приволжский,"54,922788","43,344844"
Семёнов,Приволжский,"56,789012","44,490331"
Сергач,Приволжский,"55,520105","45,481361"
Урень,Приволжский,"57,463042","45,799527"
Чкаловск,Приволжский,"56,766253","43,251105"
Шахунья,Приволжский,"57,676379","46,612915"
