Город,Федеральный округ,lat,lng
Боровичи,Северо-Западный,"58,388219","33,914025"
Валдай,Северо-Западный,"57,980199","33,246667"
ВеликийНовгород,Северо-Западный,"55,603969","31,197214"
МалаяВишера,Северо-Западный,"55,205024","67,248601"
Окуловка,Северо-Западный,"58,377145","33,298679"
Пестово,Северо-Западный,"58,599071","35,798098"
Сольцы,Северо-Западный,"58,120168","30,309355"
СтараяРусса,Северо-Западный,"45,044521","41,969083"
Холм,Северо-Западный,"57,145202","31,178781"
Чудово,Северо-Западный,"59,12119","31,670285"
