Город,Федеральный округ,lat,lng
Барабинск,Сибирский,"55,350412","78,341923"
Бердск,Сибирский,"54,758288","83,107135"
Болотное,Сибирский,"55,672001","84,385447"
Искитим,Сибирский,"54,642582","83,306382"
Карасук,Сибирский,"53,734294","78,042389"
Каргат,Сибирский,"55,194476","80,283039"
Куйбышев,Сибирский,"53,195538","50,101783"
Купино,Сибирский,"54,366046","77,297254"
Новосибирск,Сибирский,"55,030199","82,92043"
Обь,Сибирский,"54,994594","82,693758"
Татарск,Сибирский,"55,214532","75,97409"
Тогучин,Сибирский,"55,238013","84,402865"
Черепаново,Сибирский,"54,228417","83,372201"
Чулым,Сибирский,"55,091258","80,963288"
