Город,Федеральный округ,lat,lng
Белинский,Приволжский,"52,96562","43,408679"
Городище,Приволжский,"53,272758","45,70267"
Заречный,Приволжский,"53,19611","45,169071"
Каменка,Приволжский,"53,185524","44,046896"
Кузнецк,Приволжский,"53,119335","46,601165"
НижнийЛомов,Приволжский,"54,901233","99,026387"
Никольск,Приволжский,"53,71447","46,084356"
Пенза,Приволжский,"53,195063","45,018316"
Сердобск,Приволжский,"52,455683","44,202735"
Спасск,Приволжский,"53,926494","43,187729"
Сурск,Приволжский,"53,07604","45,6911"
