Город,Федеральный округ,lat,lng
Александровск,Приволжский,"59,162925","57,584669"
Березники,Приволжский,"59,407922","56,804015"
Верещагино,Приволжский,"58,079761","54,658083"
Горнозаводск,Приволжский,"58,374682","58,330917"
Гремячинск,Приволжский,"58,562599","57,852034"
Губаха,Приволжский,"58,837018","57,554575"
Добрянка,Приволжский,"58,468063","56,403986"
Кизел,Приволжский,"59,049425","57,653875"
Красновишерск,Приволжский,"60,412821","57,083301"
Краснокамск,Приволжский,"58,078357","55,736376"
Кудымкар,Приволжский,"59,014548","54,664183"
Кунгур,Приволжский,"57,42881","56,944206"
Лысьва,Приволжский,"58,100413","57,811655"
Нытва,Приволжский,"57,939127","55,328622"
Оса,Приволжский,"57,279672","55,468723"
Оханск,Приволжский,"57,72193","55,388656"
Очёр,Приволжский,"57,886894","54,715602"
Пермь,Приволжский,"58,010374","56,229398"
Соликамск,Приволжский,"59,648333","56,771029"
Усолье,Приволжский,"52,756648","103,638769"
Чайковский,Приволжский,"56,778061","54,147759"
Чердынь,Приволжский,"60,402836","56,479543"
Чёрмоз,Приволжский,"58,784335","56,150796"
Чернушка,Приволжский,"56,51601","56,076361"
Чусовой,Приволжский,"58,297548","57,819318"
