Город,Федеральный округ,lat,lng
ВеликиеЛуки,Северо-Западный,"55,603969","31,197214"
Гдов,Северо-Западный,"58,744393","27,819585"
Дно,Северо-Западный,"57,826914","29,962992"
Невель,Северо-Западный,"56,02022","29,923969"
Новоржев,Северо-Западный,"57,029623","29,332419"
Новосокольники,Северо-Западный,"56,340749","30,152761"
Опочка,Северо-Западный,"56,714151","28,658881"
Остров,Северо-Западный,"57,345188","28,343806"
Печоры,Северо-Западный,"57,813934","27,609064"
Порхов,Северо-Западный,"57,764855","29,553145"
Псков,Северо-Западный,"57,81925","28,332065"
Пустошка,Северо-Западный,"56,337526","29,36678"
Пыталово,Северо-Западный,"57,063925","27,92396"
Себеж,Северо-Западный,"56,277398","28,484814"
