Город,Федеральный округ,lat,lng
Азов,Южный,"47,112442","39,423581"
Аксай,Южный,"47,269804","39,862615"
Батайск,Южный,"47,138333","39,744469"
БелаяКалитва,Южный,"57,78567","36,693871"
Волгодонск,Южный,"47,516545","42,198423"
Гуково,Южный,"48,058442","39,940274"
Донецк,Южный,"48,015877","37,80285"
Зверево,Южный,"55,499999","36,926211"
Зерноград,Южный,"46,849564","40,312815"
Каменск-Шахтинский,Южный,"48,320515","40,268923"
Константиновск,Южный,"47,577341","41,096694"
КрасныйСулин,Южный,"56,010563","92,852572"
Миллерово,Южный,"48,92173","40,394849"
Морозовск,Южный,"48,351157","41,830878"
Новочеркасск,Южный,"47,422052","40,093725"
Новошахтинск,Южный,"47,757738","39,93643"
Пролетарск,Южный,"46,703849","41,727544"
Ростов-на-Дону,Южный,"47,222078","39,720349"
Сальск,Южный,"46,475177","41,541135"
Семикаракорск,Южный,"47,517792","40,811505"
Таганрог,Южный,"47,220983","38,9173"
Цимлянск,Южный,"47,647714","42,09306"
Шахты,Южный,"47,709601","40,215797"
