Город,Федеральный округ,lat,lng
Касимов,Центральный,"54,937288","41,391368"
Кораблино,Центральный,"53,926812","40,034463"
Михайлов,Центральный,"54,232506","39,023508"
Новомичуринск,Центральный,"54,034574","39,750865"
Рыбное,Центральный,"54,730806","39,505463"
Ряжск,Центральный,"53,708949","40,062894"
Рязань,Центральный,"54,629216","39,736375"
Сасово,Центральный,"54,349928","41,924087"
Скопин,Центральный,"53,82359","39,549328"
Спас-Клепики,Центральный,"55,131038","40,175786"
Спасск-Рязанский,Центральный,"54,407072","40,376424"
Шацк,Центральный,"51,496839","23,930185"
