Город,Федеральный округ,lat,lng
Жигулёвск,Приволжский,"53,401714","49,494657"
Кинель,Приволжский,"53,221004","50,634394"
Нефтегорск,Приволжский,"52,797221","51,163799"
Новокуйбышевск,Приволжский,"53,099469","49,947767"
Октябрьск,Приволжский,"53,164038","48,670668"
Отрадный,Приволжский,"51,691727","39,21793"
Похвистнево,Приволжский,"53,653282","52,122346"
Самара,Приволжский,"53,195538","50,101783"
Сызрань,Приволжский,"53,155782","48,474485"
Тольятти,Приволжский,"53,508816","49,419207"
Чапаевск,Приволжский,"52,981709","49,710217"
