Город,Федеральный округ,lat,lng
Аркадак,Приволжский,"51,938814","43,499849"
Аткарск,Приволжский,"51,873632","45,000296"
Балаково,Приволжский,"52,018424","47,819667"
Балашов,Приволжский,"51,554601","43,146469"
Вольск,Приволжский,"52,045978","47,38729"
Ершов,Приволжский,"51,352068","48,283494"
Калининск,Приволжский,"51,499671","44,48548"
Красноармейск,Приволжский,"56,120959","38,14094"
КрасныйКут,Приволжский,"56,010563","92,852572"
Маркс,Приволжский,"51,713333","46,740009"
Новоузенск,Приволжский,"50,466326","48,132119"
Петровск,Приволжский,"52,314023","45,389931"
Пугачёв,Приволжский,"52,014871","48,795588"
Ртищево,Приволжский,"52,257455","43,785657"
Саратов,Приволжский,"51,533103","46,034158"
Хвалынск,Приволжский,"52,495501","48,105772"
Шиханы,Приволжский,"52,114774","47,202327"
Энгельс,Приволжский,"51,485489","46,126783"
