Город,Федеральный округ,lat,lng
Александровск-Сахалинский,Дальневосточный,"50,894564","142,1594"
Анива,Дальневосточный,"46,713168","142,526595"
Долинск,Дальневосточный,"47,32624","142,79344"
Корсаков,Дальневосточный,"46,63498","142,78257"
Курильск,Дальневосточный,"45,225174","147,883761"
Макаров,Дальневосточный,"48,625101","142,778851"
Невельск,Дальневосточный,"46,652828","141,863126"
Оха,Дальневосточный,"53,584521","142,947186"
Поронайск,Дальневосточный,"49,22038","143,08956"
Северо-Курильск,Дальневосточный,"50,676327","156,124106"
Томари,Дальневосточный,"47,762214","142,061627"
Углегорск,Дальневосточный,"49,081575","142,069281"
Холмск,Дальневосточный,"47,040905","142,041622"
Южно-Сахалинск,Дальневосточный,"46,959155","142,738023"
