Город,Федеральный округ,lat,lng
Алапаевск,Уральский,"57,853038","61,702672"
Артёмовский,Уральский,"57,338402","61,894651"
Асбест,Уральский,"57,005274","61,458114"
Берёзовский,Уральский,"56,910173","60,798203"
Богданович,Уральский,"56,776502","62,046295"
ВерхнийТагил,Уральский,"53,876143","59,216953"
ВерхняяПышма,Уральский,"53,876143","59,216953"
ВерхняяСалда,Уральский,"53,876143","59,216953"
ВерхняяТура,Уральский,"53,876143","59,216953"
Верхотурье,Уральский,"58,862216","60,810213"
Волчанск,Уральский,"59,934934","60,078796"
Дегтярск,Уральский,"56,698463","60,086674"
Екатеринбург,Уральский,"56,838011","60,597465"
Заречный,Уральский,"53,19611","45,169071"
Ивдель,Уральский,"60,697349","60,41729"
Ирбит,Уральский,"57,683819","63,057664"
Каменск-Уральский,Уральский,"56,414927","61,918708"
Камышлов,Уральский,"56,846578","62,712288"
Карпинск,Уральский,"59,766534","60,001227"
Качканар,Уральский,"58,70511","59,483959"
Кировград,Уральский,"57,432415","60,062896"
Краснотурьинск,Уральский,"59,763761","60,193493"
Красноуральск,Уральский,"58,35369","60,055961"
Красноуфимск,Уральский,"56,617744","57,770692"
Кушва,Уральский,"58,282566","59,764682"
Михайловск,Уральский,"45,129667","42,028803"
Невьянск,Уральский,"57,491225","60,218251"
НижниеСерги,Уральский,"54,901233","99,026387"
НижнийТагил,Уральский,"54,901233","99,026387"
НижняяСалда,Уральский,"54,901233","99,026387"
НижняяТура,Уральский,"54,901233","99,026387"
НоваяЛяля,Уральский,"59,704642","30,788966"
Новоуральск,Уральский,"57,247235","60,095604"
Первоуральск,Уральский,"56,905839","59,943249"
Полевской,Уральский,"56,446499","60,177072"
Ревда,Уральский,"56,800079","59,908718"
Реж,Уральский,"57,373772","61,391639"
Североуральск,Уральский,"60,153281","59,952556"
Среднеуральск,Уральский,"56,991837","60,477136"
СухойЛог,Уральский,"54,101752","35,339319"
Сысерть,Уральский,"56,502281","60,810025"
Тавда,Уральский,"58,041871","65,272595"
Талица,Уральский,"56,595192","37,661689"
Туринск,Уральский,"58,039442","63,698144"
