Город,Федеральный округ,lat,lng
Велиж,Центральный,"55,603969","31,197214"
Вязьма,Центральный,"55,205944","34,298037"
Демидов,Центральный,"55,26444","31,515011"
Десногорск,Центральный,"54,152366","33,287872"
Дорогобуж,Центральный,"54,912677","33,297035"
Духовщина,Центральный,"55,191351","32,414171"
Ельня,Центральный,"54,575906","33,182734"
Починок,Центральный,"54,406265","32,439782"
Рославль,Центральный,"53,947309","32,85678"
Рудня,Центральный,"54,947031","31,093576"
Сафоново,Центральный,"55,106304","33,237917"
Смоленск,Центральный,"54,782635","32,045251"
Сычёвка,Центральный,"55,83161","34,277834"
Ярцево,Центральный,"57,535951","40,006121"
