Город,Федеральный округ,lat,lng
Благодарный,Северо-Кавказский,"45,095649","43,440021"
Будённовск,Северо-Кавказский,"44,781528","44,165024"
Георгиевск,Северо-Кавказский,"44,148599","43,473896"
Ессентуки,Северо-Кавказский,"44,044526","42,85891"
Железноводск,Северо-Кавказский,"44,132058","43,030533"
Зеленокумск,Северо-Кавказский,"44,403288","43,884148"
Изобильный,Северо-Кавказский,"45,368536","41,708644"
Ипатово,Северо-Кавказский,"45,717419","42,911147"
Кисловодск,Северо-Кавказский,"43,905225","42,716796"
Лермонтов,Северо-Кавказский,"44,105344","42,973175"
МинеральныеВоды,Северо-Кавказский,"48,92173","40,394849"
Михайловск,Северо-Кавказский,"45,129667","42,028803"
Невинномысск,Северо-Кавказский,"44,638287","41,936061"
Нефтекумск,Северо-Кавказский,"44,750586","44,994088"
Новоалександровск,Северо-Кавказский,"45,493304","41,215388"
Новопавловск,Северо-Кавказский,"43,957369","43,631901"
Пятигорск,Северо-Кавказский,"44,03929","43,07084"
Светлоград,Северо-Кавказский,"45,328573","42,856628"
Ставрополь,Северо-Кавказский,"45,044521","41,969083"
