Город,Федеральный округ,lat,lng
Андреаполь,Центральный,"56,65079","32,262023"
Бежецк,Центральный,"57,78567","36,693871"
Белый,Центральный,"55,83385","32,938805"
Бологое,Центральный,"57,885626","34,053776"
Весьегонск,Центральный,"58,658355","37,259019"
ВышнийВолочёк,Центральный,"61,006355","36,449511"
ЗападнаяДвина,Центральный,"69,400373","32,450139"
Зубцов,Центральный,"56,176143","34,58256"
Калязин,Центральный,"57,240412","37,855078"
Кашин,Центральный,"57,358381","37,61344"
Кимры,Центральный,"56,873338","37,355678"
Конаково,Центральный,"56,713217","36,779309"
КрасныйХолм,Центральный,"56,010563","92,852572"
Кувшиново,Центральный,"57,028957","34,165877"
Лихославль,Центральный,"57,122219","35,466808"
Нелидово,Центральный,"56,223296","32,776587"
Осташков,Центральный,"57,142872","33,115441"
Ржев,Центральный,"56,262877","34,329065"
Старица,Центральный,"56,514927","34,933586"
Тверь,Центральный,"56,859611","35,911896"
Торжок,Центральный,"57,041338","34,96014"
Торопец,Центральный,"56,501173","31,635466"
Удомля,Центральный,"57,876779","35,00511"
