Город,Федеральный округ,lat,lng
Белоярский,Уральский,"63,716043","66,667588"
Когалым,Уральский,"62,264069","74,482761"
Лангепас,Уральский,"61,253701","75,180725"
Лянтор,Уральский,"61,620663","72,155352"
Мегион,Уральский,"61,03289","76,102612"
Нефтеюганск,Уральский,"61,088212","72,616331"
Нижневартовск,Уральский,"60,939716","76,569628"
Нягань,Уральский,"62,145759","65,433654"
Покачи,Уральский,"61,742253","75,59412"
Пыть-Ях,Уральский,"60,758589","72,836526"
Радужный,Уральский,"62,134265","77,458439"
Сургут,Уральский,"61,254035","73,396221"
Урай,Уральский,"60,129632","64,803944"
Ханты-Мансийск,Уральский,"61,00318","69,018902"
Югорск,Уральский,"61,314917","63,331964"
