Город,Федеральный округ,lat,lng
Аша,Уральский,"54,990628","57,278469"
Бакал,Уральский,"54,938064","58,809171"
Верхнеуральск,Уральский,"53,876143","59,216953"
ВерхнийУфалей,Уральский,"53,876143","59,216953"
Еманжелинск,Уральский,"54,752147","61,317223"
Златоуст,Уральский,"55,172871","59,671841"
Карабаш,Уральский,"55,490789","60,203042"
Карталы,Уральский,"53,053681","60,647753"
Касли,Уральский,"55,893652","60,765918"
Катав-Ивановск,Уральский,"54,752074","58,198443"
Копейск,Уральский,"55,116732","61,61797"
Коркино,Уральский,"54,892493","61,393049"
Куса,Уральский,"55,338597","59,438603"
Кыштым,Уральский,"55,707877","60,538949"
Магнитогорск,Уральский,"53,407158","58,980282"
Миасс,Уральский,"55,045635","60,107731"
Миньяр,Уральский,"55,070912","57,548458"
Нязепетровск,Уральский,"56,053673","59,609678"
Озёрск,Уральский,"55,763184","60,707599"
Сатка,Уральский,"55,040492","59,028881"
Сим,Уральский,"54,990716","57,689969"
Снежинск,Уральский,"56,085209","60,732536"
Трёхгорный,Уральский,"54,817842","58,446423"
Троицк,Уральский,"54,083217","61,559759"
Усть-Катав,Уральский,"54,930289","58,1747"
Чебаркуль,Уральский,"54,977785","60,37012"
Челябинск,Уральский,"55,159897","61,402554"
Южноуральск,Уральский,"54,442455","61,268229"
Юрюзань,Уральский,"54,854646","58,422662"
