Город,Федеральный округ,lat,lng
Алдан,Дальневосточный,"58,609451","125,381673"
Верхоянск,Дальневосточный,"67,550161","133,390702"
Вилюйск,Дальневосточный,"63,751722","121,627326"
Ленск,Дальневосточный,"60,713731","114,911844"
Мирный,Дальневосточный,"62,541028","113,978692"
Нерюнгри,Дальневосточный,"56,659948","124,720315"
Нюрба,Дальневосточный,"63,278463","118,336617"
Олёкминск,Дальневосточный,"60,375796","120,406013"
Покровск,Дальневосточный,"61,48424","129,148219"
Среднеколымск,Дальневосточный,"67,458183","153,707009"
Томмот,Дальневосточный,"58,958666","126,287579"
Удачный,Дальневосточный,"66,406995","112,306362"
Якутск,Дальневосточный,"62,028103","129,732663"
