Город,Федеральный округ,lat,lng
Гаврилов-Ям,Центральный,"57,303309","39,849086"
Данилов,Центральный,"58,187861","40,174815"
Любим,Центральный,"58,362004","40,686873"
Мышкин,Центральный,"57,787134","38,455332"
Переславль-Залесский,Центральный,"56,736093","38,85431"
Пошехонье,Центральный,"58,503749","39,12005"
Ростов,Центральный,"47,222078","39,720349"
Рыбинск,Центральный,"58,048454","38,858406"
Тутаев,Центральный,"57,8688","39,530759"
Углич,Центральный,"57,526592","38,319372"
Ярославль,Центральный,"57,626569","39,893787"
